X,Y
0,0
0,1024
1024,0
1024,1024
537.801252092634,839.2993463010205
851.4896564094387,271.4892877072705
827.1493592554209,381.5446428571429
540.6698546117666,785.8590062978317
537.856632154815,839.9300761320153
827.6863440688775,273.2032202895807
537.3767214405293,834.4191246811224
827.1496831154336,381.5446428571429
536.5768245774872,822.8864696269133
537.4045111208545,834.7420878507653
850.0301438934948,271.78482865314095
827.1492346938775,381.5444560148278
537.256930604273,833.0398796237246
806.0774075255101,309.0948037906569
797.1493841677295,294.35521838129785
827.1494589046556,381.5446428571429
829.0185546874999,381.54438127790183
528.8333628128986,836.6630261479592
537.523268096301,836.0944276147959
537.4205172791773,834.9208087531888
868.8669383769133,309.97251424984063
848.2547433035713,271.90229953065216
836.9322983099489,381.5446428571429
800.8640336017219,331.81838553292414
537.532921615912,836.2196368781888
535.612643494898,784.8099489795918
856.9589544802295,270.14948194854117
828.1266193000637,377.00756337691337
797.1492596061862,290.05837452168373
848.2850864955357,268.8304655113999
541.1787507971939,819.7281867825255
532.502777722417,830.4806879783164
797.1490353954081,290.0584928551499
851.3090919961734,271.59875861965884
836.9323730468749,381.5446428571429
536.9811762595663,834.3474270567602
797.1490852200254,290.0584617147641
836.9317751514668,379.63917510363524
797.1492845184948,290.05824373206315
797.1493343431122,291.9840710698343
534.9133051658163,840.6858657525511
537.1315967793367,831.5982043207908
489.80992531289854,798.1376355229592
850.9177694515306,271.65568947305485
797.1492596061862,290.0584181182239
806.2962123325892,375.10782545440054
537.2891671316964,833.400858976403
849.8345324457907,271.8133688167651
830.4704938616071,271.0256135901627
823.0481455277422,308.1521220304528
854.4404197225765,271.1432619678732
816.4026875398596,296.2839542311066
800.2343002630739,375.75857232541455
852.7538066007652,271.38862641003675
537.8284065090879,839.6222596460459
537.1379743303571,833.6957210618623
797.8085638552295,301.07300302933675
797.1491599569515,334.19770408163265
537.9683264907525,841.2207330197705
537.5420519770407,836.3231226084183
489.2704804089604,800.2022680165817
835.7739008689413,337.6732950015944
542.5016193000637,822.7687340561224
489.4802482760682,800.8481943558673
836.9318748007015,377.6673160475128
808.9732142857142,375.8303197743942
462.28636449697063,806.413105867347
849.4881517059948,268.7558874013473
809.7511758609693,327.22622493821757
544.0227025868941,822.3784080038265
536.7344198421556,836.447285554847
537.5784862284758,822.7684849330358
537.7601343271683,838.8277064732143
823.6800462372448,376.4426020408164
452.91158247967155,800.3621053890306
541.9337681361607,788.426419005102
538.662184111926,822.7689831792092
827.1496332908163,381.4663310148278
541.6893534757653,822.1573860012755
496.39276621293044,781.5487783003827
836.9323979591836,381.5445432079082
797.1767627949616,358.2923160475128
853.0834960937499,268.7714357959982
536.2876798668685,782.7105887276786
852.8067701690051,271.38087556800065
849.7444495376275,271.8263263313138
538.6644262197066,821.6747349330358
537.7993836694834,839.2788185586735
797.1492346938775,290.0583122409121
537.6975546077806,838.1081891741071
526.8079173808195,754.6486168686224
536.3964719188456,836.9328762755102
821.5563964843749,309.1237207529497
536.9323979591836,827.462910554847
827.165826291454,381.5444435586735
851.7596560108418,269.2749104402503
531.3150460379464,837.0693459024235
827.1492346938775,381.54459303252554
797.1542669802295,334.1973303970026
827.1492346938775,381.54439373405614
816.1291503906249,289.076125787229
826.0494310028698,376.44102010921563
797.1493343431122,290.31016322544644
536.988637496014,829.94970703125
480.3300694056919,800.673509247449
827.1497080277422,381.5446428571429
812.4825115593112,329.82970444036994
823.6799964126275,376.4426020408164
537.3931511080995,834.6071627869899
513.0807370555643,764.2390086894134
537.4303950095663,835.0368502869899
827.1492346938775,381.5442567163585
537.8820676219706,840.236497528699
826.6131467235331,376.4425895846621
809.1912966358418,300.1864424724969
527.9535784040178,842.5872727997449
817.6655173788265,311.2328528579401
537.8436030173788,839.7897700095664
851.6415716677295,271.1806895976165
827.1493094308036,381.4565529336735
797.1502810108418,295.75634267378837
846.7671297034439,268.8389824069277
536.6650515186543,835.2652463329082
823.6798469387754,376.4425023915817
817.6262555803571,294.9725453902264
852.5111607142857,271.4236032914142
829.4656060666454,332.9863368443081
537.7079554966517,838.2229850924746
